lon,lat,province,2003-4-1,2003-4-2,2003-4-7,2003-4-15,2003-4-21,2003-4-22,2003-4-23,2003-4-24,2003-4-25,2003-4-26,2003-4-27,2003-4-28,2003-4-29,2003-4-30,2003-5-1,2003-5-2,2003-5-3,2003-5-4,2003-5-5,2003-5-6,2003-5-7,2003-5-8,2003-5-9,2003-5-10,2003-5-11,2003-5-12,2003-5-13,2003-5-14,2003-5-15,2003-5-16,2003-5-17,2003-5-18,2003-5-19,2003-5-20,2003-5-21,2003-5-22,2003-5-23,2003-5-24,2003-5-25,2003-5-26,2003-5-27,2003-5-28,2003-5-29,2003-5-30,2003-5-31,2003-06-01
117.2160052,31.85925242,安徽,,,,,,,,1,1,1,4,4,5,7,7,9,9,8,9,9,9,9,9,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
116.395645,39.92998578,北京,12,12,19,37,482,588,693,774,877,988,1114,1199,1347,1440,1553,1636,1741,1803,1897,1960,2049,2136,2177,2227,2265,2304,2347,2370,2388,2405,2420,2434,2437,2444,2444,2456,2465,2490,2499,2504,2512,2514,2517,2520,2521,2522
117.9849431,26.0501183,福建,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,157,3,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
102.4576246,38.10326734,甘肃,,,,,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
113.3948176,23.40800373,广东,1153,1163,1203,1273,1317,1330,1344,1359,1374,1379,1382,1395,1399,1405,1412,1421,1432,1441,1453,1465,1478,1485,1502,1504,1506,1509,1509,1510,1513,1515,1514,1514,1514,1514,1513,1513,1513,1513,1513,1513,1512,1511,1511,1511,1511,1511
108.9242744,23.55225469,广西,11,11,11,12,14,14,15,16,16,16,16,16,17,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
115.6614336,38.61383975,河北,,,,,,,6,6,18,21,27,30,39,48,56,70,79,98,107,113,134,147,156,157,166,177,191,194,200,202,202,210,214,217,221,227,228,223,222,216,216,216,216,216,215,216
113.4868041,34.15718377,河南,,,,,3,6,6,8,9,10,10,11,12,12,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
112.4105622,31.20931625,湖北,,,,,,1,1,1,1,2,2,3,3,3,3,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
111.7206635,27.69586405,湖南,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
126.2628759,43.67884619,吉林,,,,,3,7,7,7,7,7,7,7,7,7,9,14,14,18,21,23,25,26,26,26,26,27,27,30,32,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
119.3684889,33.01379717,江苏,,,,,,,,,,,,,,1,1,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
115.6760824,27.75725844,江西,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122.7535916,41.62160011,辽宁,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,5,6,6,6,6,6,6,6,6,6
114.4158675,43.46823822,内蒙古,,,,17,30,33,36,47,70,74,76,114,120,127,154,180,190,225,230,251,258,266,284,289,288,288,288,288,288,288,290,289,286,287,285,285,286,286,286,286,285,285,284,284,284,284
106.1554813,37.32132311,宁夏,,,,,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
118.5276634,36.09928993,山东,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112.5154959,37.86656599,山西,4,6,24,82,120,141,157,162,173,195,214,243,266,299,307,311,329,339,360,369,378,391,400,410,416,420,431,435,442,443,443,445,444,445,445,447,447,450,449,450,450,450,450,450,450,448
109.5037893,35.86002626,陕西,,,,,1,2,2,2,2,5,5,5,8,8,8,9,9,9,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
121.4878995,31.24916171,上海,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8
102.8991597,30.36748094,四川,3,3,4,4,8,8,8,8,9,10,12,12,12,12,12,10,10,11,11,11,11,11,13,13,13,13,14,15,15,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19
117.2108131,39.1439299,天津,,,,,,5,7,8,21,22,22,43,44,49,61,73,91,100,109,120,127,132,141,149,157,163,167,171,174,177,176,176,175,175,175,175,175,175,175,175,175,175,175,175,175,175
119.9572024,29.15949412,浙江,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
106.530635,29.54460611,重庆,,,,,,,,,,,,,,,,,,,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
