cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,locationId,suspectedCount,provinceName,updateTime
万州区,103,23,78,2,500101,0,重庆市,2020-02-13
江北区,25,2,23,0,500105,0,重庆市,2020-02-13
綦江区,21,1,20,0,500110,0,重庆市,2020-02-13
合川区,23,5,18,0,500117,0,重庆市,2020-02-13
垫江县,20,3,17,0,500231,0,重庆市,2020-02-13
奉节县,20,3,17,0,500236,0,重庆市,2020-02-13
渝中区,20,3,17,0,500103,0,重庆市,2020-02-13
九龙坡区,20,3,16,1,500107,0,重庆市,2020-02-13
潼南区,16,0,16,0,500152,0,重庆市,2020-02-13
南岸区,15,1,14,0,500108,0,重庆市,2020-02-13
两江新区,17,4,13,0,-1,0,重庆市,2020-02-13
大足区,14,1,13,0,500111,0,重庆市,2020-02-13
忠县,19,7,12,0,500233,0,重庆市,2020-02-13
渝北区,15,4,11,0,500112,0,重庆市,2020-02-13
石柱县,14,3,11,0,500240,0,重庆市,2020-02-13
云阳县,22,12,10,0,500235,0,重庆市,2020-02-13
长寿区,17,8,9,0,500115,0,重庆市,2020-02-13
丰都县,10,1,9,0,500230,0,重庆市,2020-02-13
荣昌区,8,0,8,0,500153,0,重庆市,2020-02-13
沙坪坝区,8,0,8,0,500106,0,重庆市,2020-02-13
开州区,20,12,7,1,500154,0,重庆市,2020-02-13
铜梁区,8,1,7,0,500151,0,重庆市,2020-02-13
巫溪县,13,7,6,0,500238,0,重庆市,2020-02-13
巫山县,10,5,5,0,500237,0,重庆市,2020-02-13
璧山区,8,3,5,0,500120,0,重庆市,2020-02-13
巴南区,6,1,5,0,500113,0,重庆市,2020-02-13
永川区,5,1,4,0,500118,0,重庆市,2020-02-13
大渡口区,7,4,3,0,500104,0,重庆市,2020-02-13
江津区,4,1,3,0,500116,0,重庆市,2020-02-13
高新区,4,1,3,0,0,0,重庆市,2020-02-13
梁平区,4,2,2,0,500155,0,重庆市,2020-02-13
涪陵区,3,1,2,0,500102,0,重庆市,2020-02-13
彭水县,2,0,2,0,500243,0,重庆市,2020-02-13
武隆区,1,0,1,0,500156,0,重庆市,2020-02-13
酉阳县,1,0,1,0,0,0,重庆市,2020-02-13
万盛经开区,1,0,1,0,0,0,重庆市,2020-02-13
城口县,2,2,0,0,500229,0,重庆市,2020-02-13
黔江区,2,2,0,0,500114,0,重庆市,2020-02-13
秀山县,1,1,0,0,500241,0,重庆市,2020-02-13
朝阳区,56,0,56,0,110105,0,北京市,2020-02-13
海淀区,56,0,56,0,110108,0,北京市,2020-02-13
西城区,46,0,46,0,110102,0,北京市,2020-02-13
大兴区,38,2,36,0,110115,0,北京市,2020-02-13
丰台区,36,3,33,0,110106,0,北京市,2020-02-13
外地来京人员,26,2,24,0,-1,0,北京市,2020-02-13
昌平区,24,0,24,0,110114,0,北京市,2020-02-13
通州区,17,1,16,0,110112,0,北京市,2020-02-13
房山区,14,0,14,0,110111,0,北京市,2020-02-13
石景山区,13,1,12,0,110107,0,北京市,2020-02-13
东城区,12,0,12,0,110101,0,北京市,2020-02-13
顺义区,10,0,10,0,110113,0,北京市,2020-02-13
怀柔区,7,0,7,0,110116,0,北京市,2020-02-13
密云区,7,0,7,0,110118,0,北京市,2020-02-13
门头沟区,3,0,3,0,110109,0,北京市,2020-02-13
延庆区,1,0,1,0,110119,0,北京市,2020-02-13
待明确地区,0,60,-63,3,0,0,北京市,2020-02-13
外地来沪人员,102,27,74,1,-1,0,上海市,2020-02-13
浦东新区,56,12,44,0,310115,0,上海市,2020-02-13
宝山区,20,1,19,0,310113,0,上海市,2020-02-13
徐汇区,17,2,15,0,310104,0,上海市,2020-02-13
闵行区,18,4,14,0,310112,0,上海市,2020-02-13
静安区,16,3,13,0,310106,0,上海市,2020-02-13
松江区,14,1,13,0,310117,0,上海市,2020-02-13
普陀区,11,0,11,0,310107,0,上海市,2020-02-13
长宁区,13,3,10,0,310105,0,上海市,2020-02-13
杨浦区,9,1,8,0,310110,0,上海市,2020-02-13
嘉定区,9,1,8,0,310114,0,上海市,2020-02-13
奉贤区,9,1,8,0,310120,0,上海市,2020-02-13
虹口区,7,2,5,0,310109,0,上海市,2020-02-13
黄浦区,6,1,5,0,310101,0,上海市,2020-02-13
青浦区,5,2,3,0,310118,0,上海市,2020-02-13
崇明区,3,0,3,0,310151,0,上海市,2020-02-13
金山区,3,1,2,0,310116,0,上海市,2020-02-13
宝坻区,46,1,43,2,120115,0,天津市,2020-02-13
河东区,14,2,11,1,120102,0,天津市,2020-02-13
河北区,12,2,10,0,120105,0,天津市,2020-02-13
北辰区,6,0,6,0,120113,0,天津市,2020-02-13
南开区,6,0,6,0,120104,0,天津市,2020-02-13
和平区,6,1,5,0,120101,0,天津市,2020-02-13
外地来津人员,6,1,5,0,0,0,天津市,2020-02-13
宁河区,4,0,4,0,120117,0,天津市,2020-02-13
东丽区,4,0,4,0,120110,0,天津市,2020-02-13
河西区,4,1,3,0,120103,0,天津市,2020-02-13
滨海新区,3,0,3,0,120116,0,天津市,2020-02-13
西青区,4,2,2,0,120111,0,天津市,2020-02-13
红桥区,2,1,1,0,120106,0,天津市,2020-02-13
津南区,1,0,1,0,120112,0,天津市,2020-02-13
武清区,1,0,1,0,120114,0,天津市,2020-02-13
待明确地区,0,10,-10,0,0,0,天津市,2020-02-13
