provinceName,infection_rate
湖北省,0.46814809113836137
广东省,0.3928321150009756
河南省,1.0460329412889653
浙江省,0.4825188419367514
湖南省,0.56420954744615
安徽省,0.6563356140714631
江西省,0.7837301587301587
山东省,0.553845241122129
江苏省,0.6322446347978263
重庆市,0.4414407230196705
四川省,0.5021249764728026
黑龙江省,0.6023809523809522
北京市,0.26623525645405133
上海市,0.37738993710691826
河北省,1.0594988344988345
福建省,0.5672181867097121
广西壮族自治区,0.3716352984895185
陕西省,0.7178505552418596
云南省,0.6443706293706294
海南省,0.4640031897926635
贵州省,0.2538095238095238
天津市,0.1935487750003879
山西省,1.3665811965811965
辽宁省,0.8009064737005913
甘肃省,0.6740601503759398
吉林省,0.2583333333333333
新疆维吾尔自治区,0.39205128205128204
内蒙古自治区,0.7003463203463204
宁夏回族自治区,0.4491341991341991
青海省,1.0666666666666667
澳门,0.0
西藏自治区,0.0
