updateTime,country_confirmedCount,country_confirmedCount_roll,country_confirmedCount_ratio,country_curedCount,country_suspectedCount,country_confirmedCount_increase,country_confirmedCount_increase_roll,country_confirmedCount_increase_ratio,country_curedCount_increase,hubei_confirmedCount_increase,hubei_confirmedCount_increase_roll,hubei_confirmedCount_increase_ratio,hubei_curedCount_increase,withouthubei_confirmedCount_increase,withouthubei_confirmedCount_increase_roll,withouthubei_confirmedCount_increase_ratio,Hubei_confirmedCount,Hubei_confirmedCount,Hubei_confirmedCount_ratio,withouthubei_confirmedCount,withouthubei_confirmedCount_roll,withouthubei_confirmedCount_ratio
2020/1/24,866,,,35,2,,,,,,,,,,,,549,,,317,,
2020/1/25,1324,,,40,20,458,,,5,181,,,1,277,,,730,,,594,,
2020/1/26,2019,,,49,1,695,,,9,328,,,10,367,,,1058,,,961,,
2020/1/27,2838,2695.5,,59,0,819,933.75,,10,365,541.25,,5,454,392.5,,1423,1481.25,,1415,1214.25,
2020/1/28,4601,3881.25,0.158332281,73,0,1763,1185.75,0.103762519,14,1291,706,0.115406792,5,472,479.75,0.087175322,2714,2187.25,0.169270062,1887,1694,0.144605294
2020/1/29,6067,5407,0.143984752,119,0,1466,1525.75,0.109490245,46,840,961.25,0.134031652,35,626,564.5,0.070648963,3554,3148.5,0.158205272,2513,2258.5,0.124906689
2020/1/30,8122,7143,0.120924281,141,0,2055,1736,0.056066342,22,1349,1095.75,0.056875127,3,706,640.25,0.054685641,4903,4244.25,0.12969726,3219,2898.75,0.108390667
2020/1/31,9782,8960.25,0.098439477,223,0,1660,1817.25,0.019864957,82,903,1109.75,0.005513674,51,757,707.5,0.043376857,5806,5354,0.10087741,3976,3606.25,0.094845069
2020/2/1,11870,11058,0.091356459,277,0,2088,2097.75,0.062339052,54,1347,1380,0.094653933,27,741,717.75,0.006246757,7153,6734,0.099594745,4717,4324,0.078829855
2020/2/2,14458,13354.25,0.081942917,442,1,2588,2296.25,0.03926544,165,1921,1568.5,0.055605437,99,667,727.75,0.006009013,9074,8302.5,0.090935772,5384,5051.75,0.067556165
2020/2/3,17307,16031.75,0.07936143,528,0,2849,2677.5,0.06671031,86,2103,1929,0.089847705,33,746,748.5,0.012209591,11177,10231.5,0.090730424,6130,5800.25,0.060004863
2020/2/4,20492,19153.75,0.077272883,719,2,3185,3122,0.066703419,191,2345,2381.25,0.091472765,98,840,740.75,-0.004520145,13522,12612.75,0.090870479,6970,6541,0.052197436
2020/2/5,24358,22561,0.071104531,1024,2,3866,3407.25,0.037971101,305,3156,2647.75,0.046071984,139,710,759.5,0.010856118,16678,15260.5,0.082758976,7680,7300.5,0.047708456
2020/2/6,28087,26032.75,0.062161702,1371,0,3729,3471.75,0.008144444,347,2987,2733.75,0.013881819,175,742,738,-0.012471416,19665,17994.25,0.071564987,8422,8038.5,0.041822411
2020/2/7,31194,29560.25,0.055188055,1748,166,3107,3527.5,0.006918578,377,2447,2857.75,0.019265437,155,660,669.75,-0.04214364,22112,20852,0.064013966,9082,8708.25,0.034755872
2020/2/8,34602,32773.75,0.044818034,2377,0,3408,3213.5,-0.040488718,629,2841,2605.5,-0.040133156,351,567,608,-0.042009143,24953,23457.5,0.051134009,9649,9316.25,0.029310246
2020/2/9,37212,,,2895,23941,2610,,,518,2147,,,262,463,,,27100,,,10112,,
